Offense charged,Total,White,"Black or
African
American","American
Indian or
Alaska
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander",Total,White,"Black or
African
American","American
Indian or
Alaska
Native",Asian,"Native
Hawaiian
or Other
Pacific
Islander",Total2,"Hispanic
or
Latino","Not
Hispanic
or Latino",Total,"Hispanic
or
Latino","Not
Hispanic
or Latino"
TOTAL,"674,820","419,393","234,092","11,509","7,424","2,402",100,62.1,34.7,1.7,1.1,0.4,"496,233","113,244","382,989",100,22.8,77.2
Murder and nonnegligent manslaughter,679,244,413,9,11,2,100,35.9,60.8,1.3,1.6,0.3,416,103,313,100,24.8,75.2
Rape,"2,900","1,877",956,23,31,13,100,64.7,33,0.8,1.1,0.4,"2,137",455,"1,682",100,21.3,78.7
Robbery,"15,293","4,468","10,520",94,139,72,100,29.2,68.8,0.6,0.9,0.5,"11,254","2,462","8,792",100,21.9,78.1
Aggravated assault,"22,217","12,086","9,486",350,223,72,100,54.4,42.7,1.6,1,0.3,"17,438","4,600","12,838",100,26.4,73.6
Burglary,"25,360","14,036","10,606",351,302,65,100,55.3,41.8,1.4,1.2,0.3,"17,560","4,874","12,686",100,27.8,72.2
Larceny-theft,"106,014","63,842","38,364","1,754","1,672",382,100,60.2,36.2,1.7,1.6,0.4,"72,692","15,155","57,537",100,20.8,79.2
Motor vehicle theft,"12,394","5,810","6,255",190,106,33,100,46.9,50.5,1.5,0.9,0.3,"7,979","2,123","5,856",100,26.6,73.4
Arson,"1,983","1,409",486,48,31,9,100,71.1,24.5,2.4,1.6,0.5,"1,454",298,"1,156",100,20.5,79.5
Violent crime,"41,089","18,675","21,375",476,404,159,100,45.5,52,1.2,1,0.4,"31,245","7,620","23,625",100,24.4,75.6
Property crime,"145,751","85,097","55,711","2,343","2,111",489,100,58.4,38.2,1.6,1.4,0.3,"99,685","22,450","77,235",100,22.5,77.5
Other assaults,"101,852","58,674","40,635","1,425",782,336,100,57.6,39.9,1.4,0.8,0.3,"78,351","17,144","61,207",100,21.9,78.1
Forgery and counterfeiting,961,534,405,6,14,2,100,55.6,42.1,0.6,1.5,0.2,715,126,589,100,17.6,82.4
Fraud,"3,646","1,818","1,745",49,29,5,100,49.9,47.9,1.3,0.8,0.1,"2,788",384,"2,404",100,13.8,86.2
Embezzlement,537,316,202,7,12,0,100,58.8,37.6,1.3,2.2,0,443,144,299,100,32.5,67.5
"Stolen property; buying, receiving, possessing","8,614","3,390","5,035",87,81,21,100,39.4,58.5,1,0.9,0.2,"5,849","1,228","4,621",100,21,79
Vandalism,"30,863","21,355","8,536",620,260,92,100,69.2,27.7,2,0.8,0.3,"22,603","5,175","17,428",100,22.9,77.1
"Weapons; carrying, possessing, etc.","15,342","8,249","6,698",162,211,22,100,53.8,43.7,1.1,1.4,0.1,"11,505","3,644","7,861",100,31.7,68.3
Prostitution and commercialized vice,395,157,227,2,5,4,100,39.7,57.5,0.5,1.3,1,331,52,279,100,15.7,84.3
Sex offenses (except rape and prostitution),"6,659","4,786","1,707",62,85,19,100,71.9,25.6,0.9,1.3,0.3,"5,169","1,278","3,891",100,24.7,75.3
Drug abuse violations,"77,527","58,017","17,107","1,242",917,244,100,74.8,22.1,1.6,1.2,0.3,"57,833","16,358","41,475",100,28.3,71.7
Gambling,203,50,150,0,3,0,100,24.6,73.9,0,1.5,0,102,21,81,100,20.6,79.4
Offenses against the family and children,"2,703","1,596",646,443,17,1,100,59,23.9,16.4,0.6,*,"2,205",306,"1,899",100,13.9,86.1
Driving under the influence,"5,059","4,499",338,132,73,17,100,88.9,6.7,2.6,1.4,0.3,"4,074",977,"3,097",100,24,76
Liquor laws,"28,598","25,203","1,923","1,055",352,65,100,88.1,6.7,3.7,1.2,0.2,"21,892","3,540","18,352",100,16.2,83.8
Drunkenness,"3,753","3,132",373,194,46,8,100,83.5,9.9,5.2,1.2,0.2,"3,326","1,405","1,921",100,42.2,57.8
Disorderly conduct,"51,928","27,777","22,915",829,332,75,100,53.5,44.1,1.6,0.6,0.1,"35,870","6,040","29,830",100,16.8,83.2
Vagrancy,608,368,220,11,7,2,100,60.5,36.2,1.8,1.2,0.3,383,102,281,100,26.6,73.4
All other offenses (except traffic),"121,710","80,504","37,132","1,938","1,375",761,100,66.1,30.5,1.6,1.1,0.6,"89,152","20,306","68,846",100,22.8,77.2
Suspicion,74,34,33,0,4,3,100,45.9,44.6,0,5.4,4.1,46,8,38,100,17.4,82.6
Curfew and loitering law violations,"26,948","15,162","10,979",426,304,77,100,56.3,40.7,1.6,1.1,0.3,"22,666","4,936","17,730",100,21.8,78.2
"1 Because of rounding, the percentages may not add to 100.0.",,,,,,, ,, ,,,,,,,,,
"2 The ethnicity totals are representative of those agencies that provided ethnicity breakdowns. Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal.",,,,,,,,,,,,,,, ,,,
3 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,,,,
"4 Violent crimes are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,,,,
* Less than one-tenth of 1 percent.,,,,,,,,,,,,,,,,,,
