,Offense charged,Total,White,Black,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Percent Total,Percent Distribution: White,Percent Distribution: Black,Percent Distribution: American Indian or Alaska Native,Percent Distribution: Asian,Percent Distribution: Native Hawaiian or Pacific Islander
0,TOTAL,8421481,5858330,2263112,171185,103244,25610,100,69.6,26.9,2.0,1.2,0.3
1,Murder and nonnegligent manslaughter,9374,4192,4935,108,109,30,100,44.7,52.6,1.2,1.2,0.3
2,Rape,18606,12571,5412,233,309,81,100,67.6,29.1,1.3,1.7,0.4
3,Robbery,76267,33095,41562,663,659,288,100,43.4,54.5,0.9,0.9,0.4
4,Aggravated assault,304626,191205,101432,6374,4678,937,100,62.8,33.3,2.1,1.5,0.3
5,Burglary,164641,112651,47991,1613,1925,461,100,68.4,29.1,1.0,1.2,0.3
6,Larceny-theft,833558,575105,231199,14933,10277,2044,100,69.0,27.7,1.8,1.2,0.2
7,Motor vehicle theft,68170,44970,20955,1018,895,332,100,66.0,30.7,1.5,1.3,0.5
8,Arson,7767,5593,1813,218,120,23,100,72.0,23.3,2.8,1.5,0.3
9,Violent crime4,408873,241063,153341,7378,5755,1336,100,59.0,37.5,1.8,1.4,0.3
10,Property crime4,1074136,738319,301958,17782,13217,2860,100,68.7,28.1,1.7,1.2,0.3
11,Other assaults,853493,556871,267764,15505,10511,2842,100,65.2,31.4,1.8,1.2,0.3
12,Forgery and counterfeiting,44831,29375,14308,290,752,106,100,65.5,31.9,0.6,1.7,0.2
13,Fraud,101301,67860,30888,1248,1164,141,100,67.0,30.5,1.2,1.1,0.1
14,Embezzlement,12592,7732,4512,104,209,35,100,61.4,35.8,0.8,1.7,0.3
15,Stolen property; buying receiving possessing,74492,47818,24851,876,812,135,100,64.2,33.4,1.2,1.1,0.2
16,Vandalism,154958,105933,43499,3370,1768,388,100,68.4,28.1,2.2,1.1,0.3
17,Weapons; carrying possessing etc.,124150,69414,51898,1135,1401,302,100,55.9,41.8,0.9,1.1,0.2
18,Prostitution and commercialized vice,30322,16819,11495,121,1821,66,100,55.5,37.9,0.4,6.0,0.2
19,Sex offenses (except rape and prostitution),40292,28837,9949,633,749,124,100,71.6,24.7,1.6,1.9,0.3
20,Drug abuse violations,1242630,881885,332131,12746,13593,2275,100,71.0,26.7,1.0,1.1,0.2
21,Gambling,2905,1308,1405,8,167,17,100,45.0,48.4,0.3,5.7,0.6
22,Offenses against the family and children,69546,46661,20265,2065,519,36,100,67.1,29.1,3.0,0.7,0.1
23,Driving under the influence,798012,655648,108881,14700,15969,2814,100,82.2,13.6,1.8,2.0,0.4
24,Liquor laws,183514,145328,26545,8413,2792,436,100,79.2,14.5,4.6,1.5,0.2
25,Drunkenness,299248,228784,43948,23043,3046,427,100,76.5,14.7,7.7,1.0,0.1
26,Disorderly conduct,291951,184903,94004,10121,2320,603,100,63.3,32.2,3.5,0.8,0.2
27,Vagrancy,19755,13033,6063,412,234,13,100,66.0,30.7,2.1,1.2,0.1
28,All other offenses (except traffic),2567092,1775423,704293,50666,26136,10574,100,69.2,27.4,2.0,1.0,0.4
29,Suspicion,440,154,135,143,5,3,100,35.0,30.7,32.5,1.1,0.7
30,Curfew and loitering law violations,26948,15162,10979,426,304,77,100,56.3,40.7,1.6,1.1,0.3
